Elapsed,Temp,Latency,Mode
214.11,63.94,3369.23,0
215.13,64.06,3369.23,0
216.14,64.09,3365.67,0
217.17,64.12,3365.67,0
218.18,64.31,3365.67,0
219.19,64.53,3057.45,0
220.2,64.38,3234.88,0
221.21,64.81,3234.88,0
222.22,64.44,3234.88,0
223.23,64.41,3343.57,0
224.24,64.56,3343.57,0
225.25,64.69,3343.57,0
226.26,64.22,3297.92,0
227.27,64.62,3297.92,0
228.28,64.78,3297.92,0
229.29,64.94,3297.92,0
230.3,64.81,3529.0,0
231.31,65.06,3529.0,0
232.32,64.97,3529.0,0
233.33,64.53,3492.56,0
234.34,64.91,3492.56,0
235.35,65.28,3492.56,0
236.36,64.97,3335.35,0
237.37,65.09,3335.35,0
238.38,65.22,3335.35,0
239.39,65.25,3335.35,0
240.4,65.22,3335.35,0
241.41,65.47,4251.81,0
242.42,65.75,4251.81,0
243.43,65.62,4251.81,0
244.44,65.59,3466.29,0
245.45,65.69,3466.29,0
246.45,65.56,3466.29,0
247.47,65.31,3289.53,0
248.48,65.62,3289.53,0
249.49,65.78,3289.53,0
250.5,65.62,3289.53,0
251.51,65.72,3696.22,0
252.52,65.97,3696.22,0
253.53,66.0,3696.22,0
254.54,65.53,3328.73,0
255.55,66.09,3328.73,0
256.56,66.09,3328.73,0
257.57,66.28,3328.73,0
258.58,66.22,3340.76,0
259.59,66.47,3340.76,0
260.6,66.59,3340.76,0
261.61,66.41,3344.95,0
262.62,66.34,3344.95,0
263.63,66.56,3344.95,0
264.64,66.41,3344.95,0
265.65,66.69,4228.36,0
266.66,66.47,4228.36,0
267.67,66.94,4228.36,0
268.68,66.69,3289.94,0
269.69,66.75,3703.63,0
270.7,66.84,3703.63,0
271.71,66.62,2931.37,0
272.72,66.75,3635.6,0
273.73,66.84,3635.6,0
274.75,66.91,3295.01,0
275.76,66.84,3295.01,0
276.77,67.0,3295.01,0
277.78,67.06,4320.52,0
278.79,67.19,3901.27,0
279.8,67.41,3901.27,0
280.81,67.41,3470.84,0
281.82,67.25,3456.76,0
282.83,67.47,3456.76,0
283.84,67.72,3456.76,0
284.85,67.59,3452.11,0
285.86,67.5,3828.51,0
286.87,67.69,3828.51,0
287.88,67.66,3368.41,0
288.89,67.72,3182.86,0
289.9,67.69,3182.86,0
290.91,67.91,3363.79,0
291.92,67.81,3363.79,0
292.93,68.0,3655.82,0
293.94,68.03,3125.22,0
294.96,67.97,3125.22,0
295.97,68.19,3256.23,0
296.98,67.94,3211.2,0
297.99,68.25,3211.2,0
299.0,68.16,3151.64,0
300.01,68.47,3151.64,0
301.02,68.25,3165.21,0
302.03,68.53,3165.21,0
303.04,68.31,3267.82,0
304.05,68.34,3224.17,0
305.06,68.44,3224.17,0
306.07,68.31,3530.26,0
307.08,68.44,3418.21,0
308.09,68.47,3418.21,0
309.1,68.59,3418.21,0
310.11,68.56,3715.59,0
311.12,68.72,3414.66,0
312.13,68.66,3414.66,0
313.14,68.72,3302.19,0
314.15,68.78,3115.43,0
315.16,68.94,3115.43,0
316.18,68.88,3364.29,0
317.19,69.09,3210.08,0
318.2,69.03,3210.08,0
319.21,69.25,3210.08,0
320.22,69.09,3251.99,0
321.23,69.31,3251.99,0
322.24,69.16,3251.99,0
323.25,68.97,3254.89,0
324.26,69.25,3254.89,0
325.27,69.47,3254.89,0
326.28,69.22,3288.2,0
327.29,69.53,3288.2,0
328.3,69.47,3288.2,0
329.31,69.34,3288.2,0
330.32,69.56,3420.51,0
331.33,69.44,3420.51,0
332.34,69.66,3420.51,0
333.35,69.19,3453.97,0
334.38,69.84,3453.97,0
335.39,69.69,3453.97,0
336.4,70.06,3453.97,2
345.0,70.03,3379.72,2
346.01,70.0,3379.72,2
347.02,70.0,3363.39,2
348.03,70.0,3409.81,2
349.04,70.22,3409.81,2
350.05,70.19,3409.81,2
351.06,70.06,3424.59,2
352.07,70.16,3424.59,2
353.08,70.28,3424.59,2
354.1,69.91,3403.8,2
